Lemma,Features,Form_minus/Correct,Form_plus/Wrong,Difference,Diff_minus,Diff_plus,Error Analysis
anahtarlık,"N;DAT(PL;PSS(1,PL))",anahtarlıklarımıza,anahtarlıklerimize,arımıza vs erimize,arımıza,erimize,"First Suffix Added: Plural Suffix (-lar/-ler):
The last vowel o (back, rounded) requires -lar, not -ler (for front vowels).

Then Add Possessive, Ablative, or Accusative Suffixes:
Each suffix form depends on the vowel harmony established by the previous suffix.
Since the first suffix (plural) is mismarked as front, it triggers errors in all subsequent suffixes."
asimptot,"N;ABL(PL;PSS(1,PL))",asimptotlarımızdan,asimptotlerimizden,arımızda vs erimizde,arımızda,erimizde,
asimptot,"N;ABL(PL;PSS(2,SG))",asimptotlarından,asimptotlerinden,arında vs erinde,arında,erinde,
asimptot,"N;ABL(PL;PSS(3,SG))",asimptotlarından,asimptotlerinden,arında vs erinde,arında,erinde,
asimptot,"N;ACC(PL;PSS(1,PL))",asimptotlarımızı,asimptotlerimizi,arımızı vs erimizi,arımızı,erimizi,
asimptot,"N;ACC(PL;PSS(2,SG))",asimptotlarını,asimptotlerini,arını vs erini,arını,erini,
asimptot,"N;ACC(PL;PSS(3,SG))",asimptotlarını,asimptotlerini,arını vs erini,arını,erini,
asimptot,N;ACC(SG),asimptotu,asimptotı,u vs ı,u,ı,"last vowel o is back and rounded, the correct accusative suffix is -u."
asimptot,"N;ACC(SG;PSS(2,SG))",asimptotunu,asimptotini,unu vs ini,unu,ini,"1. possessive suffix for 2nd person singular is -un, not -in. 
2. accusative Suffix: after -un, the last vowel is u (back, rounded). The correct accusative suffix is -u, not -i."
asimptot,"N;DAT(PL;PSS(1,PL))",asimptotlarımıza,asimptotlerimize,arımıza vs erimize,arımıza,erimize,"First added plural suffix: since last vowel is o(back, rounded), the correct plural suffix is -lar
This error triggers the subsequent errors in possessive(-imiz/-iniz) and dative case(-e/-a)"
asimptot,"N;DAT(PL;PSS(2,SG))",asimptotlarına,asimptotlerine,arına vs erine,arına,erine,
asimptot,"N;DAT(SG;PSS(2,PL))",asimptotunuza,asimptotinize,unuza vs inize,unuza,inize,"For 2nd person plural possessive: Back vowels (a, ı, o, u) → -unuz, The dative suffix matches the last vowel of the possessive form: Back vowels (a, ı, o, u) → -a."
asimptot,"N;DAT(SG;PSS(3,SG))",asimptotuna,asimptotına,u vs ı,u,ı,"For 3rd person singular possessive: Back vowels (a, ı, o, u) → -u"
asimptot,"N;GEN(PL;PSS(1,PL))",asimptotlarımızın,asimptotlerimizin,arımızı vs erimizi,arımızı,erimizi,"For plural Back vowels (o) → -lar. Then it triggers errors in all subsequent suffixes. 1st person plural suffix (-ımız), genitive (-ın)"
asimptot,"N;GEN(PL;PSS(3,SG))",asimptotlarının,asimptotlerinin,arını vs erini,arını,erini,
asimptot,"N;GEN(SG;PSS(2,SG))",asimptotunun,asimptotinin,unu vs ini,unu,ini,"For 2nd person singular possessive: Back rounded vowel (o) → -un, then genitive -un"
asimptot,"N;LOC(PL;PSS(2,SG))",asimptotlarında,asimptotlerinde,arında vs erinde,arında,erinde,"For plural Back vowels (o) → -lar. Then it triggers errors in all subsequent suffixes. 2nd person singular suffix (-ın), locative -da"
asimptot,N;LOC(SG),asimptotta,asimptotte,a vs e,a,e,"For locative suffix, back vowel (o) → -da, because it ends in a voiceless consonant 't', so changed to -ta, which maintains consonant harmony."
asimptot,"N;LOC(SG;PSS(1,PL))",asimptotumuzda,asimptotimizde,umuzda vs imizde,umuzda,imizde,"For 1st person plural suffix, -umuz"
asimptot,"N;NOM(PL;PSS(1,PL))",asimptotlarımız,asimptotlerimiz,arımı vs erimi,arımı,erimi,For plural Back vowels (o) → -lar. Then it triggers errors in subsequent suffix: 1st person plural suffix (-ımız)
asimptot,"N;NOM(PL;PSS(2,PL))",asimptotlarınız,asimptotleriniz,arını vs erini,arını,erini,For plural Back vowels (o) → -lar. Then it triggers errors in subsequent suffix: 2nd person plural suffix (-ınız)
asimptot,"N;NOM(SG;PSS(2,PL))",asimptotunuz,asimptotiniz,unu vs ini,unu,ini,For 2nd person plural possessive: Back rounded vowel (o) → -unuz
belirtme hali,N;ABL(PL),belirtme hallerinden,belirtme halilerden,lerin vs iler,lerin,iler,"When the possessive suffix (-i) is dropped to add a plural or case suffix, the front vowel influence remains, i.e. the plural suffix -ler."
belirtme hali,N;ABL(SG),belirtme halinden,belirtme haliden,n vs,n,,
belirtme hali,N;ACC(PL),belirtme hallerini,belirtme halerini,vs,,,Missing 'l' when adding plural suffix -ler
belirtme hali,N;ACC(SG),belirtme halini,belirtme haliyi,n vs y,n,y,"Incorrect accusative suffix application: The correct form adds the possessive suffix '-i' to 'hali' and then the accusative suffix '-ni', forming 'halini'. The wrong form 'haliyi' incorrectly uses a buffer consonant 'y' and misapplies the accusative suffix directly."
belirtme hali,N;DAT(PL),belirtme hallerine,belirtme halilere,lerin vs iler,lerin,iler,"When the possessive suffix (-i) is dropped to add a plural or case suffix, the front vowel influence remains, i.e. the plural suffix -ler."
belirtme hali,N;DAT(SG),belirtme haline,belirtme haliye,n vs y,n,y,"Incorrect dative suffix: After adding the possessive suffix '-i' to 'hali', the correct dative suffix is '-ne', forming 'haline'. The wrong form 'haliye' incorrectly uses a buffer 'y' and the suffix '-ye'."
belirtme hali,N;GEN(PL),belirtme hallerinin,belirtme halilerin,lerin vs iler,lerin,iler,
belirtme hali,N;LOC(PL),belirtme hallerinde,belirtme halilerde,lerin vs iler,lerin,iler,
belirtme hali,N;LOC(SG),belirtme halinde,belirtme halide,n vs,n,,
belirtme hali,N;NOM(PL),belirtme halleri,belirtme haliler,leri vs iler,leri,iler,
disleksi,N;DAT(SG),disleksiye,disleksine,y vs n,y,n,"Incorrect dative suffix: After the noun ending with a vowel 'i', the correct dative suffix is '-ye', with a buffer 'y', forming 'disleksiye'. The wrong form 'disleksine' incorrectly uses '-ne'."
disleksi,N;GEN(PL),disleksilerin,disleklerinin,siler vs lerin,siler,lerin,"Incorrect plural formation and genitive suffix: The noun 'disleksi' should retain its full form before adding the plural suffix '-ler', forming 'disleksiler'. The wrong form 'disleklerinin' omits 'si' and misapplies the genitive suffix."
disleksi,N;LOC(PL),disleksilerde,disleklerinde,siler vs lerin,siler,lerin,"Incorrect plural formation, the noun 'disleksi' should retain its full form before adding the plural suffix '-ler'"
disleksi,N;NOM(PL),disleksiler,dislekleri,siler vs leri,siler,leri,"Incorrect plural formation, the noun 'disleksi' should retain its full form before adding the plural suffix '-ler'"
küçüklük,N;GEN(PL),küçüklüklerin,küçüklükların,eri vs arı,eri,arı,
küçüklük,N;NOM(PL),küçüklükler,küçüklüklar,e vs a,e,a,
maraton,N;ACC(SG),maratonu,maratoni,u vs i,u,i,
meşale,"N;PL;IND;PST;NOM(1,PL)",meşale-ler-dik,meşalek,lerdi vs,lerdi,,
meşale,"N;PL;PRS;NOM(2,PL)",meşale-ler-siniz,meşalez,lersini vs,lersini,,
meşale,"N;SG;PRS;NOM(2,PL)",meşalesiniz,meşalez,sini vs,sini,,
otel,"N;ACC(PL;PSS(3,SG))",otellerini,otellarını,erini vs arını,erini,arını,
otel,"N;DAT(SG;PSS(2,SG))",oteline,oteluna,ine vs una,ine,una,
otel,"N;GEN(PL;PSS(2,SG))",otellerinin,otellarının,erini vs arını,erini,arını,
otel,"N;GEN(SG;PSS(2,SG))",otelinin,otelunun,ini vs unu,ini,unu,
otel,"N;NOM(SG;PSS(3,SG))",oteli,otelu,i vs u,i,u,
otostop,"N;ABL(SG;PSS(2,PL))",otostobunuzdan,otostobınızdan,unu vs ını,unu,ını,
otostop,N;ACC(SG),otostobu,otostobı,u vs ı,u,ı,
otostop,"N;ACC(SG;PSS(2,SG))",otostobunu,otostop,bunu vs p,bunu,p,
otostop,"N;DAT(SG;PSS(3,SG))",otostobuna,otostop,buna vs p,buna,p,
otostop,N;GEN(SG),otostobun,otostobın,u vs ı,u,ı,
otostop,"N;GEN(SG;PSS(1,PL))",otostobumuzun,otostobımızın,umuzu vs ımızı,umuzu,ımızı,
otostop,"N;LOC(SG;PSS(1,PL))",otostobumuzda,otostop,bumuzda vs p,bumuzda,p,
otostop,"N;NOM(SG;PSS(2,PL))",otostobunuz,otostop,bunuz vs p,bunuz,p,
sakso,"N;ABL(SG;PSS(1,PL))",saksomuzdan,sakson,muzda vs,muzda,,
sakso,"N;ABL(SG;PSS(2,SG))",saksondan,sakson,Identical,Identical,Identical,
sakso,"N;ABL(SG;PSS(3,SG))",saksosundan,sakson,sunda vs,sunda,,
